"Reference","Value","Datasheet","Footprint","Qty","DNP","P/N"
"CC1,CT3,CV5","1nF","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","Capacitor_SMD:C_0805_2012Metric","3","","C0805C104M5RACTU"
"CC2,CT6,CV4","2.2uF","https://www.mouser.com/ProductDetail/Murata-Electronics/GRM219R6YA475KA73D?qs=eeBpzGFlv%252B%252Bho6epIC%2FPCA%3D%3D","Capacitor_SMD:C_0805_2012Metric","3","","UMK212ABJ225KG-T"
"CL1,CL4,CR2","100nF","https://www.mouser.com/ProductDetail/KEMET/C0805C104M5RACTU?qs=VOOUd%252Bza08qHu13WgNByHQ%3D%3D","Capacitor_SMD:C_0805_2012Metric","3","","C0805C104M5RACTU"
"CL2,CL5,CL6,CR1",".1uF","https://www.mouser.com/ProductDetail/80-C0805J222K5RAUTO","Capacitor_SMD:C_0805_2012Metric","4","","C0805C102J5HACAUTO"
"CL3,CR3","1uF","https://www.mouser.com/ProductDetail/KEMET/C0805C105K5PACTU?qs=mYAa4mSiDJyTAfAbrHf%2FRg%3D%3D","Capacitor_SMD:C_0805_2012Metric","2","","C0805C105K5PACTU"
"J1,J2","PeripheralCANConnector","https://www.mouser.com/ProductDetail/Molex/43650-0244?qs=XoD1gVtqLQuEe6RJ38AzJQ%3D%3D","UTSVT_Connectors:Molex_MicroFit3.0_1x4xP3.00mm_PolarizingPeg_Vertical","2","","436500244"
"R1,R4,R6,R11,R12,R13,R17,R18","10k","https://www.mouser.com/datasheet/2/447/PYu_RT_1_to_0_01_RoHS_L_15-3461507.pdf","Resistor_SMD:R_0805_2012Metric","8","","CRCW080510K0FKEAC"
"R2","50k","~https://www.vishay.com/docs/60057/pnm.pdf","Resistor_SMD:R_0805_2012Metric","1","","PNM0805E5002BST1"
"R3,R23,R25,R26","100k","https://www.vishay.com/docs/28773/crcwce3.pdf","Resistor_SMD:R_0805_2012Metric","4","","CRCW0805100KFKEAC"
"R5,R10","40k","https://www.vishay.com/docs/20035/dcrcwe3.pdf","Resistor_SMD:R_0805_2012Metric","2","","CRCW080540K0FKEA"
"R7,R16","30k","https://www.vishay.com/docs/28700/mcx0x0xpre.pdf","Resistor_SMD:R_0805_2012Metric","2","","MCU08050D3002BP100"
"R8","500","https://www.koaspeer.com/pdfs/RN73R.pdf","Resistor_SMD:R_0805_2012Metric","1","","RN73R2ATTD5000B25"
"R9",".01","https://www.vishay.com/docs/20019/rcwe.pdf","Resistor_SMD:R_0805_2012Metric","1","","RCWE0805R100FNEA"
"R14","150k","https://www.mouser.com/datasheet/2/1365/1-3044649.pdf","Resistor_SMD:R_0805_2012Metric","1","","0805W8F1503T5E"
"R15","3k","https://www.mouser.com/datasheet/2/1365/1-3044649.pdf","Resistor_SMD:R_0805_2012Metric","1","","0805W8F3001T5E"
"TH2","500.","https://www.vishay.com/docs/33017/tfpt.pdf","Resistor_SMD:R_0805_2012Metric","1","","TFPT0805L5001FM"
"U1,U2","OPA842xDBV","http://www.ti.com/lit/ds/symlink/opa842.pdf","Package_TO_SOT_SMD:SOT-23-5","2","","SBOS267D"
"U3","INA180B1","http://www.ti.com/lit/ds/symlink/ina180.pdf","Package_TO_SOT_SMD:SOT-23-5","1","","SBOS741H "
"U4","PAMC131M03QDFMRQ1","https://www.ti.com/lit/ds/symlink/amc131m03-q1.pdf?ts=1729342972986&ref_url=www.mouser.com","ADCfootprints:SOIC20_DFM_TEX","1",""," SBASAO3A "
"U5","PeripheralSOM","https://tools.molex.com/pdm_docs/sd/533072071_sd.pdf","UTSVT_Special:PeripheralSOM","1","","53307-2471"
