"Reference","Qty","P/N"
"CC1,CT3,CV5","3","C0805C102J5HACAUTO"
"CC2,CT6,CV4","3","UMK212ABJ225KG-T"
"CL1,CL4,CR2","3","C0805C104M5RACTU"
"CL2,CL5,CL6,CR1","4","C0805C102J5HACAUTO"
"CL3,CR3","2","C0805C105K5PACTU"
"J1","1",""
"J2","1",""
"J3","1",""
"J4,J5","2","436500244"
"R1,R4,R6,R11,R12,R13,R17,R18","8","RT0603FRE0710KL "
"R2","1","PTN0805E5002BST1"
"R3,R23,R25,R26","4","ERA-6VEB1003V"
"R5,R10","2","CRCW080540K0FKEA"
"R7,R16","2","RCV0805330KFKEA"
"R8","1","RN73R2ATTD5000B25"
"R9","1","WSLP0805R0100DEA "
"R14","1","ERJ-UP6D1503V "
"R15","1","TNPW08053K00FEEA "
"TH2","1","TFPT0805L5001FM"
"U1,U2","2","SBOS267D"
"U3","1","SBOS741H "
"U4","1"," SBASAO3A "
"U5","1","53307-2471"
