Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"CC1, CT3, CV5",0805,3,1nF,
"CC2, CT6, CV4",0805,3,2.2uF,
"CL1, CL4, CR2",0805,3,100nF,
"CL2, CL5, CL6, CR1",0805,4,.1uF,
"CL3, CR3",0805,2,1uF,
J1,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CarPowerConnector,
J2,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CANconn,
J3,Molex_Micro-Fit_3.0_43650-0215_1x02_P3.00mm_Vertical,1,CANconn2,
"R1, R11, R12, R13, R17, R18, R4, R6",0805,8,10k,
"R10, R5",0805,2,40k,
R14,0805,1,150k,
R15,0805,1,3k,
"R16, R7",0805,2,30k,
R2,0805,1,50k,
"R23, R25, R26, R3",0805,4,100k,
R8,0805,1,500,
R9,0805,1,.01,
TH2,0805,1,500.,
"U1, U2",SOT-23-5,2,OPA842xDBV,
U3,SOT-23-5,1,INA180B1,
U4,SOIC20_DFM_TEX,1,PAMC131M03QDFMRQ1,
U5,PeripheralSOM,1,PeripheralSOM,
