Designator,Mid X,Mid Y,Rotation,Layer
_2,167.92476,-129.8,0.0,top
,124.32476,-129.8,0.0,top
CC1,154.7,-104.875,180.0,top
CC2,154.72,-102.9,180.0,top
CL1,148.45,-118.5,180.0,top
CL2,144.8125,-116.5,180.0,top
CL3,144.8125,-118.5,180.0,top
CL4,153.0275,-112.52,0.0,top
CL5,148.45,-116.5,180.0,top
CL6,153.0275,-114.51,0.0,top
CR1,136.45,-108.5,180.0,top
CR2,136.45,-106.5,0.0,top
CR3,136.45,-104.5,180.0,top
CT3,157.4939,-114.51,180.0,top
CT6,157.4939,-112.52,180.0,top
CV4,157.5,-109.925,180.0,top
CV5,157.4939,-107.92,180.0,top
J1,141.5,-127.3825,180.0,top
J2,122.7325,-120.7,90.0,top
J3,122.7075,-109.3,90.0,top
R1,162.5675,-100.15,0.0,top
R10,165.1539,-107.92,0.0,top
R11,165.1539,-109.83,0.0,top
R12,165.1539,-112.52,180.0,top
R13,165.1539,-114.51,0.0,top
R14,162.625,-102.9,180.0,top
R15,161.3739,-112.5,180.0,top
R16,152.0375,-100.15,0.0,top
R17,153.0275,-109.16,0.0,top
R18,148.6775,-100.15,180.0,top
R2,155.5375,-100.15,180.0,top
R23,136.45,-112.5,0.0,top
R25,136.45,-102.5,0.0,top
R26,136.45,-110.5,0.0,top
R3,138.45,-100.305,0.0,top
R4,162.62,-104.875,180.0,top
R5,157.4939,-116.54,180.0,top
R6,159.6439,-118.55,180.0,top
R7,153.0275,-107.19,0.0,top
R8,165.1539,-116.54,0.0,top
R9,158.9975,-100.15,0.0,top
TH2,163.0764,-118.54,0.0,top
U1,161.3725,-109.08,0.0,top
U2,158.5925,-103.54,0.0,top
U3,161.3739,-115.24,0.0,top
U4,144.4611,-108.195,180.0,top
U5,146.12476,-78.31247,270.0,top
